url,title,published,last_updated,approx_chars,primary_intent,duplicate_topic_flag,recommended_action,final_action
"/blog/how-to-study-effectively-for-ib-exams","How to Study Effectively for IB and AP Exams","2026-05-19","2026-07-16","10529","informational","template-family","Keep (verify)","Audited 2026-07 — kept"
"/blog/importance-of-high-school-mathematics","The Critical Importance of High School Mathematics","2026-05-19","2026-07-29","10449","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/mathematics-calculus-limits-derivatives","Calculus, Limits & Derivatives in Mathematics Tutoring","2026-05-20","2026-07-29","8622","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/physics-kinematics-dynamics","Kinematics & Dynamics in Physics Tutoring","2026-05-20","2026-07-29","10692","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/chemistry-stoichiometry-gas-laws","Stoichiometry & Gas Laws in Chemistry Tutoring","2026-05-20","2026-07-29","9104","commercial/local","","Keep (verify)","Audited 2026-07 — kept"
"/blog/university-mathematics-statistics-ubc-stat-200-203-241-251","Statistics (UBC STAT 200/203/241/251) in University Mathematics","2026-05-20","2026-07-29","9695","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/university-mathematics-statistics-langara-stat-1123-1124-1181","Statistics (Langara STAT 1123/1124/1181) in University","2026-05-20","2026-07-29","10024","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/university-mathematics-linear-algebra-ubc-math-152","Linear Algebra (UBC MATH 152) in University Mathematics","2026-05-20","2026-07-29","9180","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/university-mathematics-linear-algebra-langara-math-2362","Linear Algebra (Langara MATH 2362) in University Mathematics","2026-05-20","2026-07-29","8661","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/university-physics-ubc-physics-phys-100-101-107-108","UBC Physics (PHYS 100/101/107/108) in University Physics","2026-05-20","2026-07-29","8523","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/university-physics-langara-college-physics-phys-1101-1114-1118","Langara College Physics (PHYS 1101/1114/1118) in University","2026-05-20","2026-07-29","8975","informational","","Keep (verify)","Audited 2026-07 — kept"
"/blog/university-chemistry-ubc-chemistry-chem-111-121-123","UBC Chemistry (CHEM 111/121/123) in University Chemistry","2026-05-20","2026-07-18","9849","informational","","Keep (verify)","Audited 2026-07 — kept"
