"url","page_type","title_source","meta_desc","h1","canonical","robots","primary_intent","status","redirect_destination","shared_form","shared_footer","issues_found","action_completed"
"/","static","Sanity home + code fallback","Sanity","Sanity/code","/","index/follow","brand/home","200","","TrialClassForm (hero)","yes","Homepage links to math page + guide added","done"
"/about","static","Sanity page/about","Sanity","code","/about","index/follow","brand/tutors","200","","Footer form","yes","About heading claim softened (Real Results removed)","done"
"/services","static","Sanity page/services","Sanity","code","/services","index/follow","services","200","","Footer form","yes","HowSessionsWork: group size 6, location=studio, provincial removed","done"
"/contact","static","Sanity page/contact","Sanity","code","/contact","index/follow","contact","200","","Footer form (ContactInfoCards)","yes","",""
"/book","static","code","code","code","/book","index/follow","conversion","200","","TrialClassForm","yes","Review count imported from data/reviews.ts","done"
"/pricing","static","Sanity page/pricing","Sanity","code","/pricing","index/follow","pricing","200","","Footer form","yes","Renders from data/pricing.ts (single source)","done"
"/privacy","static","Sanity page/privacy","Sanity","code","/privacy","index/follow","legal","200","","Footer form","yes","Heading dedup + legal review flagged (NOT changed)","remaining"
"/terms","static","Sanity page/terms","Sanity","code","/terms","index/follow","legal","200","","Footer form","yes","Legal review flagged (NOT changed)","remaining"
"/resources","static","Sanity page/resources","Sanity","code","/resources","index/follow","resources","200","","Footer form","yes","",""
"/locations","static","code","code","code","/locations","index/follow","city hub","200","","Footer form","yes","provincial-exam wording corrected","done"
"/guides/how-to-choose-a-tutor-burnaby-vancouver","static","code","code","code","/guides/...","index/follow","guide","200","","Footer form","yes","Article+Breadcrumb schema; market-rate band reworded","done"
"/thank-you","static","code","code","code","/thank-you","NOINDEX/follow","post-conversion","200","","Footer form","yes","Intentional noindex","verified"
"/blog","blog-archive","Sanity page/blog","Sanity","code","/blog (forced)","index/follow","blog listing","200","","Footer form","yes","",""
"/blog/page/[n]","blog-archive","Sanity","Sanity","code","/blog/page/N","index/follow","pagination","200","","Footer form","yes","",""
"/blog/[slug]","blog","Sanity post","Sanity","Sanity","/blog/<slug>","index/follow","article","200","","Footer form","yes","95 published posts; see blog-content-audit.csv","audited"
"/math-tutor-burnaby","city","Sanity landingContent + cities.ts","Sanity","Math Tutoring in Burnaby for Grades 6-12 and University","/math-tutor-burnaby","index/follow","local math","200","","TrialClassForm (hero)","yes","H1 de-top-rated; metaTitle=studio; At-a-Glance; 7 math FAQs","done (deep 70-80% math refocus = remaining)"
"/math-tutor-vancouver","city","Sanity + cities.ts","Sanity","code","/math-tutor-vancouver","index/follow","local math (online)","200","","TrialClassForm (hero)","yes","Online-first wording present; deep refocus = remaining","partial"
"/math-tutor-<9 other cities>","city","Sanity + cities.ts","Sanity","code","/math-tutor-<slug>","index/follow","local math (online)","200","","TrialClassForm","yes","Online-first; At-a-Glance added","done"
"/programs","program","Sanity","Sanity","code","/programs","index/follow","programs index","200","","Footer form","yes","Heading fixed; math card SAT text removed","done"
"/programs/mathematics","program","Sanity programPage","Sanity","code","/programs/mathematics","index/follow","subject","200","","Footer form","yes","",""
"/programs/pre-calculus","program","Sanity","Sanity","code","/programs/pre-calculus","index/follow","subject","200","","Footer form","yes","Limits/derivatives = optional Calc prep","verified"
"/programs/chemistry","program","Sanity","Sanity","code","/programs/chemistry","index/follow","subject","200","","Footer form","yes","Course table from central data; SFU removed; disclaimer","verified"
"/programs/physics","program","Sanity","Sanity","code","/programs/physics","index/follow","subject","200","","Footer form","yes","Course table central; by-level; disclaimer","verified"
"/programs/biology","program","Sanity","Sanity","code","/programs/biology","index/follow","subject","200","","Footer form","yes","",""
"/programs/computer-science","program","Sanity","Sanity","code","/programs/computer-science","index/follow","subject","200","","Footer form","yes","Academic-integrity note present; no buzzword overclaim","verified"
"/programs/university-mathematics","program","Sanity","Sanity","code","/programs/university-mathematics","index/follow","university","200","","Footer form","yes","Central course data; STAT 241 removed; MATH 152=Linear Systems","verified"
"/programs/university-physics","program","Sanity","Sanity","code","/programs/university-physics","index/follow","university","200","","Footer form","yes","Central data; UBC/SFU/Langara; bad Langara codes removed","verified"
"/programs/university-chemistry","program","Sanity","Sanity","code","/programs/university-chemistry","index/follow","university","200","","Footer form","yes","Title UBC & Langara (SFU claim removed)","done"
"/programs/university-biology","program","Sanity","Sanity","code","/programs/university-biology","index/follow","university","200","","Footer form","yes","Central data (UBC/Langara); copy-paste bug fixed","verified"
"/university-professional","vertical","Sanity + verticalPages.ts","Sanity","code","/university-professional","index/follow","adult quant hub","200","","LeadForm","yes","Adult-audience conversion = REMAINING (S10)","remaining"
"/online-medical-tutoring","vertical","Sanity + verticalPages.ts","Sanity","code","/online-medical-tutoring","index/follow","medical hub","200","","LeadForm","yes","MD-led adult audience","partial"
"/[seoSlug] (109 entries)","seoPage","Sanity landingContent + seoPages.ts","Sanity","code","/<slug>","index/follow","keyword landing","200","","TrialClassForm (hero)","yes","Best X Tutor softened; provincial-exam corrected; location=studio","done"
"[redirectPairs] (196)","redirect","n/a","n/a","n/a","target","308","legacy","308-redirect","see redirect-map.csv","n/a","n/a","0 chains (2 fixed), 0 loops; excluded from sitemap","verified"
"/llms.txt, /llms-full.txt","route","n/a","n/a","n/a","n/a","n/a","AI discovery","200","","n/a (text route)","no","Review count imported from data/reviews.ts","done"
