URL,Source,Primary intent,Title (code default),H1,Canonical,Decision
/math-tutor-burnaby,city,Local broad tutoring — Burnaby,"Math Tutor in Burnaby | Physics, Chemistry & Coding",Top-Rated Math Tutor in Burnaby,https://www.drshreyankeducare.com/math-tutor-burnaby,Keep (distinct city intent)
/math-tutor-vancouver,city,Local broad tutoring — Vancouver,"Math Tutor in Vancouver | Physics, Chemistry & Coding",Trusted Math Tutor in Vancouver,https://www.drshreyankeducare.com/math-tutor-vancouver,Keep (distinct city intent)
/math-tutor-north-vancouver,city,Local broad tutoring — North Vancouver,Math Tutor in North Vancouver | Physics & Chemistry,Expert Math Tutor in North Vancouver,https://www.drshreyankeducare.com/math-tutor-north-vancouver,Keep (distinct city intent)
/math-tutor-west-vancouver,city,Local broad tutoring — West Vancouver,Math Tutor in West Vancouver | Physics & Chemistry,Trusted Math Tutor in West Vancouver,https://www.drshreyankeducare.com/math-tutor-west-vancouver,Keep (distinct city intent)
/math-tutor-coquitlam,city,Local broad tutoring — Coquitlam,"Math Tutor in Coquitlam | Physics, Chemistry & Coding",Expert Math Tutor in Coquitlam,https://www.drshreyankeducare.com/math-tutor-coquitlam,Keep (distinct city intent)
/math-tutor-port-moody,city,Local broad tutoring — Port Moody,Math Tutor in Port Moody | Physics & Chemistry,Trusted Math Tutor in Port Moody,https://www.drshreyankeducare.com/math-tutor-port-moody,Keep (distinct city intent)
/math-tutor-port-coquitlam,city,Local broad tutoring — Port Coquitlam,Math Tutor in Port Coquitlam | Physics & Chemistry,Expert Math Tutor in Port Coquitlam,https://www.drshreyankeducare.com/math-tutor-port-coquitlam,Keep (distinct city intent)
/math-tutor-surrey,city,Local broad tutoring — Surrey,"Math Tutor in Surrey | Physics, Chemistry & Coding",Expert Math Tutor in Surrey,https://www.drshreyankeducare.com/math-tutor-surrey,Keep (distinct city intent)
/math-tutor-richmond,city,Local broad tutoring — Richmond,"Math Tutor in Richmond | Physics, Chemistry & Coding",Trusted Math Tutor in Richmond,https://www.drshreyankeducare.com/math-tutor-richmond,Keep (distinct city intent)
/math-tutor-new-westminster,city,Local broad tutoring — New Westminster,Math Tutor in New Westminster | Physics & Chemistry,Expert Math Tutor in New Westminster,https://www.drshreyankeducare.com/math-tutor-new-westminster,Keep (distinct city intent)
/math-tutor-delta,city,Local broad tutoring — Delta,"Math Tutor in Delta | Physics, Chemistry & Coding",Trusted Math Tutor in Delta,https://www.drshreyankeducare.com/math-tutor-delta,Keep (distinct city intent)
/online-medical-tutoring,vertical,University/professional subject,Online Medical Tutoring | USA & Caribbean | MD-Led,,https://www.drshreyankeducare.com/online-medical-tutoring,Keep
/university-professional,vertical,University/professional subject,University & Professional Tutoring | Economics & Stats,,https://www.drshreyankeducare.com/university-professional,Keep
/medical-sciences-tutor,vertical,University/professional subject,Medical Sciences Tutor | USA & Caribbean | MD-Led,,https://www.drshreyankeducare.com/medical-sciences-tutor,Keep
/online-physiology-tutor,vertical,University/professional subject,Online Physiology Tutor | USA & Caribbean | MD-Led,,https://www.drshreyankeducare.com/online-physiology-tutor,Keep
/online-pathology-tutor,vertical,University/professional subject,Online Pathology Tutor | USA & Caribbean | MD-Led,,https://www.drshreyankeducare.com/online-pathology-tutor,Keep
/online-pharmacology-tutor,vertical,University/professional subject,Online Pharmacology Tutor | USA & Caribbean | MD-Led,,https://www.drshreyankeducare.com/online-pharmacology-tutor,Keep
/medical-exam-prep-tutor-online,vertical,University/professional subject,Medical Exam Prep Tutor | USA & Caribbean | MD-Led,,https://www.drshreyankeducare.com/medical-exam-prep-tutor-online,Keep
/online-statistics-tutor,vertical,University/professional subject,Online Statistics Tutor | University & Professional,,https://www.drshreyankeducare.com/online-statistics-tutor,Keep
/online-economics-tutor,vertical,University/professional subject,Online Economics Tutor | University & Professional,,https://www.drshreyankeducare.com/online-economics-tutor,Keep
/r-programming-tutor,vertical,University/professional subject,R Programming Tutor | University & Professional,,https://www.drshreyankeducare.com/r-programming-tutor,Keep
/actuarial-science-tutor,vertical,University/professional subject,Actuarial Science Tutor | University & Professional,,https://www.drshreyankeducare.com/actuarial-science-tutor,Keep
/statistics-with-r-tutor,vertical,University/professional subject,Statistics with R Tutor | University & Professional,,https://www.drshreyankeducare.com/statistics-with-r-tutor,Keep
/actuarial-exam-tutor-online,vertical,University/professional subject,Actuarial Exam Tutor | University & Professional,,https://www.drshreyankeducare.com/actuarial-exam-tutor-online,Keep
/dr-shreyank-educare,seoPage,Brand,"Dr. Shreyank Educare | PhD Tutoring, Burnaby & Vancouver",Dr. Shreyank Educare — PhD-Led Tutoring in Burnaby & Vancouver,https://www.drshreyankeducare.com/dr-shreyank-educare,Keep
/dr-shreyank-educare-reviews,seoPage,Brand,Dr. Shreyank Educare Reviews | 5★ Rated Tutoring in BC,Dr. Shreyank Educare Reviews,https://www.drshreyankeducare.com/dr-shreyank-educare-reviews,Keep
/dr-shreyank-educare-burnaby,seoPage,Brand,Dr. Shreyank Educare Burnaby | In-Person & Online Tutoring,Dr. Shreyank Educare in Burnaby,https://www.drshreyankeducare.com/dr-shreyank-educare-burnaby,Keep
/dr-shreyank-gupta-tutor,seoPage,Brand,Dr. Shreyank Gupta | PhD Math & Science Tutor in BC,Dr. Shreyank Gupta — PhD Math & Science Tutor,https://www.drshreyankeducare.com/dr-shreyank-gupta-tutor,Keep
/dr-shreyank-math-tutor,seoPage,Brand,Dr. Shreyank Math Tutor | Burnaby & Vancouver,Dr. Shreyank — Expert Math Tutor,https://www.drshreyankeducare.com/dr-shreyank-math-tutor,Keep
/best-math-tutor-burnaby,seoPage,Core Local,"Best Math Tutor in Burnaby | PhD-Led, 5★ Rated",Best Math Tutor in Burnaby,https://www.drshreyankeducare.com/best-math-tutor-burnaby,Keep
/best-math-tutor-vancouver,seoPage,Core Local,"Best Math Tutor in Vancouver | PhD-Led, 5★ Rated",Best Math Tutor in Vancouver,https://www.drshreyankeducare.com/best-math-tutor-vancouver,Keep
/math-tutoring-burnaby,seoPage,Core Local,Math Tutoring in Burnaby | Grades 6–12 & University,Math Tutoring in Burnaby,https://www.drshreyankeducare.com/math-tutoring-burnaby,REDIRECTS -> excluded from sitemap & sibling links
/math-tutoring-vancouver,seoPage,Core Local,Math Tutoring in Vancouver | Grades 6–12 & University,Math Tutoring in Vancouver,https://www.drshreyankeducare.com/math-tutoring-vancouver,Keep
/private-math-tutor-burnaby,seoPage,Core Local,Private Math Tutor in Burnaby | One-on-One PhD-Led Help,Private Math Tutor in Burnaby,https://www.drshreyankeducare.com/private-math-tutor-burnaby,Keep
/one-on-one-math-tutor-burnaby,seoPage,Core Local,One-on-One Math Tutor in Burnaby | Personalized PhD-Led,One-on-One Math Tutor in Burnaby,https://www.drshreyankeducare.com/one-on-one-math-tutor-burnaby,Keep
/science-tutor-burnaby,seoPage,Core Local,"Science Tutor in Burnaby | Physics, Chemistry & Biology",Science Tutor in Burnaby,https://www.drshreyankeducare.com/science-tutor-burnaby,Keep
/stem-tutor-vancouver,seoPage,Core Local,"STEM Tutor in Vancouver | Math, Science & Coding",STEM Tutor in Vancouver,https://www.drshreyankeducare.com/stem-tutor-vancouver,Keep
