Query,Clicks,Impressions,CTR,Avg position,Search intent,Recommended landing page,Ranking opportunity,Recommended action,Priority
math tutor abbotsford,0,136,0%,58.06,Location (not served),"— (out of service area, do not target)",Low (long-term),Ignore / mark not-relevant,P4
math tutoring burnaby,0,73,0%,5.14,Subject tutoring,"/math-tutor-burnaby (primary) — consolidate /math-tutoring-burnaby, /best-math-tutor-burnaby","STRIKING DISTANCE (pos 4-10, high impressions)","PRIORITIZE: rewrite title+description, strengthen page & internal links",P1
chemistry tutor burnaby,0,65,0%,5.31,Subject tutoring,/programs/chemistry (+ city intent → burnaby),"STRIKING DISTANCE (pos 4-10, high impressions)","PRIORITIZE: rewrite title+description, strengthen page & internal links",P1
university physics tutor vancouver,0,64,0%,9.33,University / professional,/programs/university-physics,"STRIKING DISTANCE (pos 4-10, high impressions)","PRIORITIZE: rewrite title+description, strengthen page & internal links",P1
pre calculus 12 tutor burnaby,0,63,0%,4.79,Grade / course-specific,/pre-calculus-12-tutor-burnaby,"STRIKING DISTANCE (pos 4-10, high impressions)","PRIORITIZE: rewrite title+description, strengthen page & internal links",P1
computer science tutor,0,63,0%,20.52,Subject tutoring,/programs/computer-science,Low (long-term),Monitor; low priority,P2
physics tutor burnaby,0,60,0%,5.65,Subject tutoring,/programs/physics (city → burnaby),"STRIKING DISTANCE (pos 4-10, high impressions)","PRIORITIZE: rewrite title+description, strengthen page & internal links",P1
math tutor burnaby,0,59,0%,14.73,Subject tutoring,"/math-tutor-burnaby (primary) — consolidate /math-tutoring-burnaby, /best-math-tutor-burnaby",Page-2 (build authority),Add depth + internal links to lift to page 1,P2
coding tutor burnaby,0,58,0%,5.41,Subject tutoring,/coding-tutor-burnaby,"STRIKING DISTANCE (pos 4-10, high impressions)","PRIORITIZE: rewrite title+description, strengthen page & internal links",P1
dr shreyank educare,2,55,3.64%,2.69,Branded,/ (homepage) + /about,Converting (defend),Keep; protect ranking,P1
university biology tutor vancouver,0,53,0%,8.32,University / professional,/programs/university-biology,"STRIKING DISTANCE (pos 4-10, high impressions)","PRIORITIZE: rewrite title+description, strengthen page & internal links",P1
university physics tutor,0,48,0%,9.25,University / professional,/programs/university-physics,"STRIKING DISTANCE (pos 4-10, high impressions)","PRIORITIZE: rewrite title+description, strengthen page & internal links",P1
chemistry tutor vancouver,0,44,0%,17.55,Subject tutoring,/programs/chemistry (+ city intent → vancouver),Page-2 (build authority),Add depth + internal links to lift to page 1,P2
physics 11 tutor vancouver,0,39,0%,11.64,Grade / course-specific,/physics-11-tutor-vancouver,Page-2 (build authority),Add depth + internal links to lift to page 1,P2
tutoring burnaby,0,39,0%,35.56,Broad tutoring,/math-tutor-burnaby (city hub),Low (long-term),Monitor; low priority,P2
physical chemistry tutor,0,36,0%,9.17,Subject tutoring,/programs/chemistry,"STRIKING DISTANCE (pos 4-10, high impressions)","PRIORITIZE: rewrite title+description, strengthen page & internal links",P1
precalculus tutors near me,0,35,0%,11.89,Grade / course-specific,/programs/mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P2
best math tutor burnaby,0,32,0%,8.84,Subject tutoring,"/math-tutor-burnaby (primary) — consolidate /math-tutoring-burnaby, /best-math-tutor-burnaby","STRIKING DISTANCE (pos 4-10, high impressions)","PRIORITIZE: rewrite title+description, strengthen page & internal links",P1
math tutoring in burnaby,0,30,0%,1.53,Subject tutoring,"/math-tutor-burnaby (primary) — consolidate /math-tutoring-burnaby, /best-math-tutor-burnaby",Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
coding tutoring,0,30,0%,7.27,Subject tutoring,/programs/computer-science,"STRIKING DISTANCE (pos 4-10, high impressions)","PRIORITIZE: rewrite title+description, strengthen page & internal links",P1
linear algebra tutor,0,29,0%,12.03,Subject tutoring,/programs/mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P2
physics tutoring,0,28,0%,1.32,Subject tutoring,/programs/physics,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
best math tutor in burnaby,0,28,0%,5.89,Subject tutoring,"/math-tutor-burnaby (primary) — consolidate /math-tutoring-burnaby, /best-math-tutor-burnaby","STRIKING DISTANCE (pos 4-10, high impressions)","PRIORITIZE: rewrite title+description, strengthen page & internal links",P1
best pre-calculus tutor burnaby,0,27,0%,7.81,Grade / course-specific,/pre-calculus-12-tutor-burnaby,"STRIKING DISTANCE (pos 4-10, high impressions)","PRIORITIZE: rewrite title+description, strengthen page & internal links",P1
dr shreyank gupta,2,26,7.69%,1.5,Branded,/ (homepage) + /about,Converting (defend),Keep; protect ranking,P1
grade 8 math tutor vancouver,0,26,0%,16.96,Grade / course-specific,/grade-8-math-tutor-vancouver,Page-2 (build authority),Add depth + internal links to lift to page 1,P2
ib math tutor burnaby,0,25,0%,8.32,Grade / course-specific,"/math-tutor-burnaby (primary) — consolidate /math-tutoring-burnaby, /best-math-tutor-burnaby","STRIKING DISTANCE (pos 4-10, high impressions)","PRIORITIZE: rewrite title+description, strengthen page & internal links",P1
ap chemistry tutor burnaby,0,25,0%,10.84,Grade / course-specific,/programs/chemistry (+ city intent → burnaby),Page-2 (build authority),Add depth + internal links to lift to page 1,P2
science tutor burnaby,0,25,0%,10.88,Subject tutoring,/programs,Page-2 (build authority),Add depth + internal links to lift to page 1,P2
chemistry tutoring vancouver,0,25,0%,15.48,Subject tutoring,/programs/chemistry (+ city intent → vancouver),Page-2 (build authority),Add depth + internal links to lift to page 1,P2
actuary tutors,0,25,0%,45.2,University / professional,/actuarial-science-tutor or /actuarial-exam-tutor-online,Low (long-term),Monitor; low priority,P2
dr shreyank educare reviews,0,24,0%,1.96,Branded,/ (homepage) + /about,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
engineering math tutor,0,24,0%,2.58,Subject tutoring,/programs/mathematics,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
best tutoring centre in burnaby,0,24,0%,3.54,Broad tutoring,/math-tutor-burnaby (city hub),"STRIKING DISTANCE (pos 4-10, high impressions)","PRIORITIZE: rewrite title+description, strengthen page & internal links",P1
one on one math tutor burnaby,0,24,0%,8.71,Subject tutoring,"/math-tutor-burnaby (primary) — consolidate /math-tutoring-burnaby, /best-math-tutor-burnaby","STRIKING DISTANCE (pos 4-10, high impressions)","PRIORITIZE: rewrite title+description, strengthen page & internal links",P1
math tutoring vancouver,0,24,0%,38.54,Subject tutoring,/math-tutor-vancouver / /vancouver-math-tutor (consolidate to one),Low (long-term),Monitor; low priority,P2
