url,route_type,city,subject,modifier,unique_words,total_words,max_similarity,most_similar_url,proposed_action
"/programs/finance","program","","finance","","580","603","0.418","/programs/university-finance","keep"
"/programs/university-finance","program","","finance","","800","829","0.418","/programs/finance","keep"
"/ib-tutor-vancouver","seoPage","vancouver","ib","","225","474","0.41","/ib-tutor-burnaby","keep"
"/ib-tutor-burnaby","seoPage","burnaby","ib","","225","474","0.41","/ib-tutor-vancouver","keep"
"/ib-chemistry-tutor-vancouver","seoPage","vancouver","chemistry","","228","472","0.372","/ib-physics-tutor-vancouver","keep"
"/ib-physics-tutor-vancouver","seoPage","vancouver","physics","","215","459","0.372","/ib-chemistry-tutor-vancouver","keep"
"/ap-physics-tutor-vancouver","seoPage","vancouver","physics","","240","484","0.33","/ap-physics-tutor-burnaby","keep"
"/ap-physics-tutor-burnaby","seoPage","burnaby","physics","","225","469","0.33","/ap-physics-tutor-vancouver","keep"
"/math-tutor-coquitlam","city","coquitlam","math","","1038","1294","0.325","/math-tutor-surrey","keep"
"/math-tutor-surrey","city","surrey","math","","1026","1282","0.325","/math-tutor-coquitlam","keep"
"/math-tutor-port-moody","city","port-moody","math","","1007","1263","0.309","/math-tutor-surrey","merge -> /math-tutor-coquitlam"
"/math-tutor-richmond","city","richmond","math","","1093","1349","0.306","/math-tutor-port-moody","keep"
"/math-tutor-port-coquitlam","city","coquitlam","math","","1124","1380","0.303","/math-tutor-coquitlam","merge -> /math-tutor-coquitlam"
"/math-tutor-north-vancouver","city","vancouver","math","","1041","1297","0.3","/math-tutor-port-moody","merge -> /math-tutor-vancouver"
"/math-tutor-new-westminster","city","new-westminster","math","","1120","1376","0.3","/math-tutor-surrey","keep"
"/math-tutor-west-vancouver","city","vancouver","math","","1033","1289","0.298","/math-tutor-port-moody","merge -> /math-tutor-vancouver"
"/math-tutor-delta","city","delta","math","","1101","1357","0.297","/math-tutor-port-moody","merge -> /math-tutor-surrey"
"/ap-chemistry-tutor-vancouver","seoPage","vancouver","chemistry","","237","486","0.297","/ap-chemistry-tutor-burnaby","keep"
"/ap-chemistry-tutor-burnaby","seoPage","burnaby","chemistry","","222","471","0.297","/ap-chemistry-tutor-vancouver","keep"
